text,label
Selling all my TSLA stock,negative
Buying more AMZN shares,positive
Bearish outlook for TSLA,negative
Feeling optimistic about AMZN,positive
Feeling optimistic about NFLX,positive
NFLX will crash soon,negative
Disappointed in NFLX earnings,negative
IBM continues to rise,positive
Selling all my AMZN stock,negative
Feeling pessimistic about NFLX,negative
Bearish outlook for META,negative
Amazing returns on NFLX,positive
Feeling pessimistic about TSLA,negative
GOOG continues to fall,negative
NVDA continues to fall,negative
Great bullish trend for GOOG,positive
NVDA continues to rise,positive
Investors love TSLA,positive
NVDA will go to the moon,positive
I am very happy with the profits from stock TSLA,positive
TSLA will crash soon,negative
IBM is a terrible investment,negative
AMZN continues to fall,negative
Feeling pessimistic about IBM,negative
I am very happy with the profits from stock TSLA,positive
Disappointed in MSFT earnings,negative
Buying more MSFT shares,positive
GOOG will crash soon,negative
NVDA is a terrible investment,negative
Feeling pessimistic about AMZN,negative
MSFT is a strong buy,positive
Selling all my IBM stock,negative
Excited about BABA earnings,positive
Feeling optimistic about IBM,positive
I am worried about losses in META,negative
Feeling optimistic about IBM,positive
Investors love AAPL,positive
I am worried about losses in MSFT,negative
AMZN will crash soon,negative
I am worried about losses in TSLA,negative
Investors hate AMZN,negative
AAPL is a terrible investment,negative
Amazing returns on MSFT,positive
GOOG continues to rise,positive
GOOG will crash soon,negative
I am very happy with the profits from stock MSFT,positive
Feeling pessimistic about MSFT,negative
Amazing returns on NVDA,positive
Great bullish trend for META,positive
AMZN will go to the moon,positive
I am very happy with the profits from stock AMZN,positive
GOOG will go to the moon,positive
Selling all my NFLX stock,negative
Great bullish trend for NVDA,positive
Amazing returns on NVDA,positive
AMZN is a strong buy,positive
AMZN is a terrible investment,negative
Bearish outlook for MSFT,negative
AAPL will go to the moon,positive
Disappointed in AAPL earnings,negative
Bearish outlook for AMZN,negative
Excited about TSLA earnings,positive
Feeling optimistic about NFLX,positive
IBM is a strong buy,positive
Excited about IBM earnings,positive
Disappointed in NFLX earnings,negative
I am worried about losses in NFLX,negative
Great bullish trend for NFLX,positive
Amazing returns on TSLA,positive
I am very happy with the profits from stock IBM,positive
Bearish outlook for MSFT,negative
Investors love IBM,positive
Buying more TSLA shares,positive
Great bullish trend for NFLX,positive
I am very happy with the profits from stock AMZN,positive
Disappointed in IBM earnings,negative
IBM is a strong buy,positive
Great bullish trend for AAPL,positive
Feeling optimistic about AAPL,positive
I am worried about losses in BABA,negative
Amazing returns on META,positive
NFLX will crash soon,negative
Disappointed in GOOG earnings,negative
BABA is a strong buy,positive
META will go to the moon,positive
Disappointed in AAPL earnings,negative
NVDA continues to rise,positive
MSFT will crash soon,negative
MSFT is a strong buy,positive
TSLA is a strong buy,positive
META will crash soon,negative
Excited about META earnings,positive
Feeling optimistic about AAPL,positive
I am worried about losses in NVDA,negative
Feeling optimistic about TSLA,positive
Investors hate MSFT,negative
Feeling optimistic about TSLA,positive
